"meat","fish","eggs","milk","vegetables","fruits_and_berries","cereals","flour","sweets","softdrinks","alcodrinks","sum_rub_buy","income","diplom","car","plot_bi","plot_size","famsize","water","sanitation","fridge","internet","pfuel","ptransp","phome","debt","govsubs","nongovsubs","inval"
2.5,NA,10,3.4,2,2,2,2,0.5,NA,NA,1271,19380,1,0,0,0,1,1,1,1,0,NA,200,1700,0,19380,0,0
1,NA,10,2.2,2,1,1,1.5,0.5,NA,NA,662,10500,0,0,0,0,1,1,1,1,0,NA,NA,5200,0,10500,0,0
0.8,NA,NA,2.05,3.7,6,0.8,0.75,0.356,1,NA,1033.9,30620,0,0,0,0,1,1,1,0,0,NA,NA,3500,0,30620,0,0
3,NA,NA,2,9,1,NA,2.7,1.7,NA,NA,3388,84000,1,0,0,0,5,1,1,1,1,NA,1500,5500,0,17000,0,1
3.34,1.49,NA,2.5,15.4,3,NA,2.5,0.7,NA,5,3608,105683,1,1,0,0,4,1,1,1,1,3000,300,5100,0,0,0,0
1.5,NA,10,1,1,1,1,1.5,NA,NA,NA,587,12645,0,0,1,6,1,1,1,1,0,NA,NA,5500,0,12645,0,1
3.2,NA,NA,1.98,5.5,4.6,1,2,1.5,0.4,0.5,2789.4,24041,0,0,1,1.5,1,0,0,1,0,NA,440,2800,0,17041,0,0
4.7,3,20,3.9,7,3,NA,1.5,0.3,NA,0.5,4881,141500,0,0,0,0,5,1,1,1,1,NA,3500,8100,0,24500,0,0
6,NA,20,3,15,4,NA,3.95,0.3,0.1,NA,3167,74000,0,0,0,0,4,1,1,1,1,NA,2000,4200,0,0,0,0
0.8,NA,NA,1,NA,NA,NA,0.4,NA,NA,NA,490,80000,1,0,0,0,3,1,1,1,1,NA,1300,3200,0,0,0,0
3.1,NA,20,3.8,4,2,NA,1.5,0.3,NA,NA,2173.2,70203,1,1,0,0,2,1,1,1,1,2000,120,5200,0,28703,0,1
6,NA,20,1.7,1.5,13,NA,0.35,1.3,0.25,NA,3211,26000,0,0,0,0,1,1,1,1,0,NA,800,3750,0,26000,0,0
2.5,NA,30,6,11,2,NA,1.6,4.7,NA,NA,4246,38200,0,1,0,0,2,1,1,1,0,3000,500,5600,0,14200,0,1
0.7,2,NA,NA,5.3,2,NA,2.4,2,NA,2.5,2471,28175,0,0,0,0,1,1,1,1,1,NA,500,4144,0,14375,0,0
3.5,NA,20,16.05,17.8,5,1.8,4,2,2.3,NA,4401,82360,1,1,0,0,6,1,1,1,1,4000,2000,8480,0,27360,0,0
3,1,NA,3.7,10.5,3,NA,3.25,1.6,2,NA,2939,41200,1,1,1,26,3,1,1,1,1,8000,500,6500,0,33200,0,1
1.98,NA,10,1.3,2.5,1,0.8,1,1.2,NA,NA,1049,10000,0,0,0,0,1,1,1,0,0,NA,500,2800,0,10000,0,0
1.2,NA,10,1.65,5,1,1,3,0.5,NA,NA,652,25800,0,0,0,0,1,1,1,1,0,NA,440,3700,0,25800,0,1
5.3,NA,10,2.2,3,2,1,2,1.8,1.15,1.5,2665,60000,1,0,0,0,2,1,1,0,1,NA,5000,5000,0,0,0,0
1.05,NA,NA,2,1,1.5,1,2.6,1,NA,NA,628,37040,1,0,0,0,1,1,1,1,1,NA,NA,6000,0,17605,0,0
2.4,1,NA,2.25,NA,1,1,1.6,2.5,0.145,NA,1884.5,26600,0,0,1,7.5,1,1,1,1,1,NA,300,4000,0,16600,0,0
2,NA,NA,3.6,NA,NA,1,1.2,NA,0.034,NA,672,24690,0,0,0,0,1,0,0,0,0,NA,NA,1000,0,22390,0,1
5.3,NA,10,3.2,NA,1,NA,4.8,2,0.036,1.5,2052,48835,0,0,1,4,2,1,0,0,1,NA,300,2400,0,18400,0,1
2.4,1.2,10,1.45,NA,NA,1,0.5,1.8,NA,5,1818,60000,1,1,1,6,2,0,0,0,1,4000,NA,1500,700000,0,0,0
2,0.7,10,3.15,NA,1.5,0.8,8.5,1.02,NA,NA,2013,105000,1,1,1,7,3,1,0,0,1,3000,NA,3500,400000,22000,0,0
