"","meat","fish","eggs","milk","vegetables","fruits_and_berries","cereals","flour","sweets","softdrinks","alcodrinks","sum_rub_buy","income","diplom","car","plot_bi","plot_size","famsize","water","sanitation","fridge","internet","pfuel","ptransp","phome","debt","govsubs","nongovsubs","inval"
"902",0,0,0,1,0,0,1,2.5,0,0,0,320,37000,0,0,0,0,2,1,1,1,0,0,0,5000,0,17000,0,0
"903",1.5,0,10,1.5,3.2,0,0,0.55,0,0,0,613,17000,0,0,0,0,1,1,1,1,0,0,0,6000,0,17000,0,0
"904",2.1,0,10,1.3,3.8,2,0,1.65,1.8,0.05,0,1350,42200,1,0,0,0,1,1,1,1,1,0,1100,1600,0,0,0,0
"905",2.1,0,10,4.2,2.5,3,0.8,0.55,0.6,1,0,1830,28380,1,1,1,6,1,1,1,1,1,1000,0,2000,0,12380,0,0
"906",1,2,0,3.9,0,0,0,2.7,3.96,1.5,0,2797,125405,1,0,1,5.8,5,1,1,1,1,0,300,4800,0,44705,0,1
"907",6,0.6,20,5.2,5.5,3.6,0,0.35,3,0.98,0,3489,37021,1,1,0,0,2,1,1,1,1,3000,0,4285,0,27623,6800,1
"908",10,1.5,30,12.8,5,3,0,15,5,0.67,0,8304,93000,0,1,0,0,3,1,1,1,1,5000,0,0,100000,0,0,0
"909",2.45,0,15,2,3,0.5,0,0.55,1,0,1,2230,63606,1,1,0,0,2,1,1,1,1,7000,0,8000,0,14456,0,0
"910",0,0,0,0.66,0,1,0,0.75,0,0.19,0,745,25300,0,0,0,0,1,1,1,1,1,0,0,2560,0,25300,0,0
"911",1.3,0,0,1.52,6.1,1.8,0,0.25,1.2,0.1,0,1607.5,39920,1,0,0,0,1,1,1,1,1,0,150,3800,0,19736,0,0
"912",1.8,0,0,3.84,3.6,1,0,4.15,1.4,0,3.5,1760.6,15000,0,0,0,0,1,1,1,0,0,0,500,3400,0,12266.8,0,0
"913",9,0,20,4.05,5.3,4,0.8,4.13,3.7,0.12,2,5010,42800,0,0,1,9,3,1,1,1,1,0,1590,2190,0,0,0,0
"914",3.6,0,20,2,3,2,0.7,5.7,2.29,0.07,0.7,2511,18112,1,0,0,0,1,1,1,1,1,0,230,3000,0,17893,0,0
"915",6.74,1.6,20,5.44,6.3,2.6,0.9,7.1,3.8,0.13,3,7729,117732,1,0,0,0,3,1,1,1,1,0,2300,3298,0,45284,0,0
"917",0,0,0,0,0,0,0,4.5,0.85,0,0,805,71500,1,0,0,0,3,1,1,0,1,0,0,6500,0,0,0,0
"918",2.6,0,20,1.2,2.33,1,0,4.75,1.8,0,0,1566,39120,1,0,0,0,2,1,1,0,0,0,46,3918,0,38624,0,1
"919",5.9,2.1,10,2.02,8.62999999999999,4.5,1,1.9,0.4,0.06,0,3927,81350,1,1,0,0,3,1,1,0,1,4800,0,4120,0,52720,0,0
